CSA,CSB,CAS,CSI,MFL,MDS,SDM,RAY,EPS,COM,EED,ANG,STA
8.56,12.57,14.8,10.2,12.15,9.0,14.69,11.01,17.0,18.0,9,14.4,15.5
6.3,12.86,13.6,17.6,12.19,12.62,10.15,11.62,15.0,17.0,7,10.9,16.5
6.1,11.07,12.2,13.1,13.85,12.12,14.12,11.9,14.0,15.5,14,12.5,15.93
3.32,11.29,11.4,13.7,15.58,12.23,14.65,12.62,18.0,18.0,8,14.12,14.6
2.86,10.43,14.9,13.7,15.65,10.54,12.35,11.12,14.5,17.0,15,16.0,15.19
4.38,13.14,14.5,10.0,11.19,10.65,14.73,12.18,19.0,16.0,12,17.3,16.5
5.32,13.86,14.5,15.2,14.85,10.35,14.38,12.29,12.0,17.0,10,11.45,
9.72,13.14,12.4,12.2,10.19,9.92,14.12,10.12,,17.0,9,16.0,
4.7,10.79,9.2,17.6,13.96,7.88,13.81,9.51,15.0,18.5,15,14.4,16.0
13.0,10.21,13.9,10.2,14.38,7.77,11.46,10.01,14.5,15.5,10,14.6,16.25
9.0,10.43,13.6,10.8,11.27,9.65,13.77,10.46,13.0,17.5,12,16.9,15.64
3.62,10.54,15.9,14.9,10.46,10.08,13.88,10.46,16.0,16.0,12,15.9,14.75
9.56,10.29,14.1,12.5,11.12,10.27,11.73,10.96,14.5,17.0,11,15.2,14.8
8.4,13.82,13.5,10.0,14.54,10.58,13.35,12.62,,16.0,12,11.9,14.5
2.8,9.64,15.4,18.8,11.81,9.19,12.98,10.68,15.5,17.0,11,15.1,13.5
8.12,10.93,13.4,10.8,9.46,8.62,16.62,10.96,15.5,17.5,11,15.0,15.5
7.84,9.36,13.4,11.0,14.5,8.88,13.0,13.15,15.0,13.5,8,18.1,14.95
10.72,9.64,11.1,12.2,13.92,11.65,13.12,8.73,18.5,17.0,8,12.6,
8.18,10.14,15.2,10.8,10.0,10.42,12.31,13.4,14.0,17.0,11,14.12,16.5
4.44,11.43,12.8,11.6,11.73,10.35,13.5,10.01,14.5,19.0,11,16.1,
6.84,13.29,12.4,10.2,12.85,12.15,15.85,10.62,13.5,16.0,8,11.5,16.5
4.5,10.29,14.1,19.4,13.15,7.23,10.31,12.62,15.5,16.5,8,14.9,13.5
3.1,13.86,13.0,13.1,15.42,12.19,15.96,10.68,12.0,15.5,10,12.8,
7.8,9.46,13.2,11.0,12.04,10.15,12.04,11.01,15.5,16.5,12,16.0,
6.6,12.43,14.9,10.0,12.12,11.08,10.27,12.96,14.0,14.5,15,14.7,14.79
